composition,formation_energy,band_gap,delta_e
Hg1 Sc1,-0.397763814983134,0.0,-0.397763814983134
O1 Sr1,-2.52621002293938,2.792,-2.52621002293938
Er1 In1,-0.44633174,0.0,-0.44633174
Pd1 Ti1,-0.557809586893132,0.0,-0.557809586893132
Cu1 Zr1,-0.106489105000001,0.0,-0.106489105000001
Ru1 Si1,-0.6368062775,0.0,-0.6368062775
O1 Pa1,-1.42564590793938,0.0,-1.42564590793938
Ba1 O1,-2.68244427293938,2.111,-2.68244427293938
Bi1 Lu1,-0.750151734999999,0.0,-0.750151734999999
Np1 P1,-0.988323003854969,0.0,-0.988323003854969
N1 Th1,-1.67543571767175,0.0,-1.67543571767175
S1 Th1,-1.99337087700668,0.0,-1.99337087700668
Bi1 Th1,-0.550875097500001,0.0,-0.550875097500001
Nd1 Te1,-1.42528020916667,0.0,-1.42528020916667
B1 Os1,-0.236791,0.0,-0.236791
Ho1 Ir1,-0.853058376666666,0.0,-0.853058376666666
C1 Mo1,0.214689896249999,0.0,0.214689896249999
N1 W1,0.231852792328246,0.0,0.231852792328246
Cd1 Te1,-0.467199726666665,0.874,-0.467199726666665
Br1 Rb1,-1.87287090370792,4.153,-1.87287090370792
O1 Ta1,-1.09754764293938,0.0,-1.09754764293938
Te1,0.16115749166667,0.0,0.16115749166667
N1 Re1,0.557985629828249,0.0,0.557985629828249
Y1 Zn1,-0.3630821675,0.0,-0.3630821675
Zn1 Zr1,-0.282258519999999,0.0,-0.282258519999999
Ho1 Mg1,-0.07310239125,0.0,-0.07310239125
N1 V1,-1.05877331267175,0.0,-1.05877331267175
Nd1 P1,-1.66654361197997,0.0,-1.66654361197997
N1 U1,-1.41567096517175,0.0,-1.41567096517175
As1 Yb1,-0.8195818425,0.0,-0.8195818425
Ho1 In1,-0.460542576666665,0.0,-0.460542576666665
Ga1 Ti1,-0.503551294393132,0.0,-0.503551294393132
Au1 Nd1,-0.7672467325,0.0,-0.7672467325
Cl1 Rb1,-2.06957501280956,5.126,-2.06957501280956
